ce cc z cost lambda mu edge_d cloud_d target_d percentile cost_ratio
3 0 0 4.296000001296 0.0576 0.0444444444 6.84 22.8 100.0 0.99999 1.0
3 0 0 4.2150000012149995 0.054 0.0444444444 6.84 22.8 100.0 0.99999 1.0
3 0 0 4.458000001458 0.0648 0.0444444444 6.84 22.8 100.0 0.99999 1.0
4 0 0 5.9440000019440005 0.0864 0.0444444444 6.84 22.8 100.0 0.99999 1.0
3 0 0 4.458000001458 0.0648 0.0444444444 6.84 22.8 100.0 0.99999 1.0
3 0 0 4.458000001458 0.0648 0.0444444444 6.84 22.8 100.0 0.99999 1.0
3 0 0 4.134000001134 0.0504 0.0444444444 6.84 22.8 100.0 0.99999 1.0
4 0 0 6.106000002106001 0.0936 0.0444444444 6.84 22.8 100.0 0.99999 1.0
3 0 0 4.539000001539 0.0684 0.0444444444 6.84 22.8 100.0 0.99999 1.0
4 0 0 6.187000002187 0.0972 0.0444444444 6.84 22.8 100.0 0.99999 1.0
3 0 0 3.891000000891 0.0396 0.0444444444 6.84 22.8 100.0 0.99999 1.0
3 0 0 4.2150000012149995 0.054 0.0444444444 6.84 22.8 100.0 0.99999 1.0
3 0 0 4.053000001053 0.0468 0.0444444444 6.84 22.8 100.0 0.99999 1.0
3 0 0 4.296000001296 0.0576 0.0444444444 6.84 22.8 100.0 0.99999 1.0
3 0 0 4.134000001134 0.0504 0.0444444444 6.84 22.8 100.0 0.99999 1.0
4 0 0 6.187000002187 0.0972 0.0444444444 6.84 22.8 100.0 0.99999 1.0
4 0 0 5.701000001701 0.0756 0.0444444444 6.84 22.8 100.0 0.99999 1.0
4 0 0 6.43000000243 0.108 0.0444444444 6.84 22.8 100.0 0.99999 1.0
5 0 0 7.754000002754 0.1224 0.0444444444 6.84 22.8 100.0 0.99999 1.0
4 0 0 6.268000002268 0.1008 0.0444444444 6.84 22.8 100.0 0.99999 1.0
6 0 0 10.131000004131 0.1836 0.0444444444 6.84 22.8 100.0 0.99999 1.0
6 0 0 10.293000004292999 0.1908 0.0444444444 6.84 22.8 100.0 0.99999 1.0
7 0 0 11.536000004536 0.2016 0.0444444444 6.84 22.8 100.0 0.99999 1.0
6 0 0 10.293000004292999 0.1908 0.0444444444 6.84 22.8 100.0 0.99999 1.0
7 0 0 12.103000005103 0.2268 0.0444444444 6.84 22.8 100.0 0.99999 1.0
9 0 0 15.561000006561 0.2916 0.0444444444 6.84 22.8 100.0 0.99999 1.0
9 0 0 15.399000006399 0.2844 0.0444444444 6.84 22.8 100.0 0.99999 1.0
10 0 0 17.695000007695 0.342 0.0444444444 6.84 22.8 100.0 0.99999 1.0
8 0 0 14.156000006156 0.2736 0.0444444444 6.84 22.8 100.0 0.99999 1.0
10 0 0 17.533000007533 0.3348 0.0444444444 6.84 22.8 100.0 0.99999 1.0
8 0 0 14.237000006237 0.2772 0.0444444444 6.84 22.8 100.0 0.99999 1.0
8 0 0 14.075000006075001 0.27 0.0444444444 6.84 22.8 100.0 0.99999 1.0
10 0 0 17.371000007371002 0.3276 0.0444444444 6.84 22.8 100.0 0.99999 1.0
11 0 0 19.262000008262 0.3672 0.0444444444 6.84 22.8 100.0 0.99999 1.0
13 0 0 23.368000010368 0.4608 0.0444444444 6.84 22.8 100.0 0.99999 1.0
17 0 0 31.499000014499 0.6444 0.0444444444 6.84 22.8 100.0 0.99999 1.0
16 0 0 29.851000013851 0.6156 0.0444444444 6.84 22.8 100.0 0.99999 1.0
15 0 0 28.203000013203003 0.5868 0.0444444444 6.84 22.8 100.0 0.99999 1.0
19 0 0 36.172000017171996 0.7632 0.0444444444 6.84 22.8 100.0 0.99999 1.0
19 0 0 35.848000016848005 0.7488 0.0444444444 6.84 22.8 100.0 0.99999 1.0
20 3 0.04999999999999925 42.19700001919699 0.8532 0.0444444444 6.84 22.8 100.0 0.99999 1.0
20 5 0.12999999999999923 45.898000020898 0.9288 0.0444444444 6.84 22.8 100.0 0.99999 1.0
0 23 1.0 43.412000020412 0.9072 0.0444444444 6.84 22.8 100.0 0.99999 1.0
0 26 1.0 49.409000023409 1.0404 0.0444444444 6.84 22.8 100.0 0.99999 1.0
0 29 1.0 55.487000026487 1.1772 0.0444444444 6.84 22.8 100.0 0.99999 1.0
0 36 1.0 69.372000033372 1.4832 0.0444444444 6.84 22.8 100.0 0.99999 1.0
8 36 0.8499999999999999 83.771000039771 1.7676 0.0444444444 6.84 22.8 100.0 0.99999 1.0
8 32 0.8199999999999998 75.154000035154 1.5624 0.0444444444 6.84 22.8 100.0 0.99999 1.0
13 32 0.7299999999999999 85.90500004090501 1.818 0.0444444444 6.84 22.8 100.0 0.99999 1.0
19 32 0.6399999999999998 97.575000046575 2.07 0.0444444444 6.84 22.8 100.0 0.99999 1.0
20 35 0.6399999999999999 105.706000050706 2.2536 0.0444444444 6.84 22.8 100.0 0.99999 1.0
20 34 0.6299999999999999 103.41000004941002 2.196 0.0444444444 6.84 22.8 100.0 0.99999 1.0
20 39 0.6699999999999999 113.918000054918 2.4408 0.0444444444 6.84 22.8 100.0 0.99999 1.0
20 40 0.6699999999999999 115.323000055323 2.4588 0.0444444444 6.84 22.8 100.0 0.99999 1.0
20 39 0.6699999999999999 113.18900005418901 2.4084 0.0444444444 6.84 22.8 100.0 0.99999 1.0
20 40 0.68 115.89000005589 2.484 0.0444444444 6.84 22.8 100.0 0.99999 1.0
