l_,ce,cc,z,pe,pc,dpe,dpc,avge,avgc,tot_avg
0.2666666664,8,0,0.0,0.999999999994636,1.0,81.7999999999996,0.0,40.463841425241014,0.0,40.463841425241014
0.222222222,7,0,0.0,0.999999999994631,1.0,81.7999999999996,0.0,40.46384142524563,0.0,40.46384142524563
0.222222222,7,0,0.0,0.999999999994631,1.0,81.7999999999996,0.0,40.46384142524563,0.0,40.46384142524563
0.1333333332,5,0,0.0,0.999999999994634,1.0,81.7999999999996,0.0,40.46384143478964,0.0,40.46384143478964
0.222222222,7,0,0.0,0.999999999994631,1.0,81.7999999999996,0.0,40.46384142524563,0.0,40.46384142524563
0.1333333332,5,0,0.0,0.999999999994634,1.0,81.7999999999996,0.0,40.46384143478964,0.0,40.46384143478964
0.2666666664,8,0,0.0,0.999999999994636,1.0,81.7999999999996,0.0,40.463841425241014,0.0,40.463841425241014
0.1777777776,6,0,0.0,0.999999999994634,1.0,81.7999999999996,0.0,40.463841425443206,0.0,40.463841425443206
0.1333333332,5,0,0.0,0.999999999994634,1.0,81.7999999999996,0.0,40.46384143478964,0.0,40.46384143478964
0.1777777776,6,0,0.0,0.999999999994634,1.0,81.7999999999996,0.0,40.463841425443206,0.0,40.463841425443206
0.1333333332,5,0,0.0,0.999999999994634,1.0,81.7999999999996,0.0,40.46384143478964,0.0,40.46384143478964
0.1333333332,5,0,0.0,0.999999999994634,1.0,81.7999999999996,0.0,40.46384143478964,0.0,40.46384143478964
0.0888888888,4,0,0.0,0.999999999994635,1.0,81.7999999999996,0.0,40.463841897802766,0.0,40.463841897802766
0.0888888888,4,0,0.0,0.999999999994635,1.0,81.7999999999996,0.0,40.463841897802766,0.0,40.463841897802766
0.0888888888,4,0,0.0,0.999999999994635,1.0,81.7999999999996,0.0,40.463841897802766,0.0,40.463841897802766
0.1333333332,5,0,0.0,0.999999999994634,1.0,81.7999999999996,0.0,40.46384143478964,0.0,40.46384143478964
0.1333333332,5,0,0.0,0.999999999994634,1.0,81.7999999999996,0.0,40.46384143478964,0.0,40.46384143478964
0.0888888888,4,0,0.0,0.999999999994635,1.0,81.7999999999996,0.0,40.463841897802766,0.0,40.463841897802766
0.0888888888,4,0,0.0,0.999999999994635,1.0,81.7999999999996,0.0,40.463841897802766,0.0,40.463841897802766
0.0888888888,4,0,0.0,0.999999999994635,1.0,81.7999999999996,0.0,40.463841897802766,0.0,40.463841897802766
0.0888888888,4,0,0.0,0.999999999994635,1.0,81.7999999999996,0.0,40.463841897802766,0.0,40.463841897802766
0.0888888888,4,0,0.0,0.999999999994635,1.0,81.7999999999996,0.0,40.463841897802766,0.0,40.463841897802766
0.0888888888,4,0,0.0,0.999999999994635,1.0,81.7999999999996,0.0,40.463841897802766,0.0,40.463841897802766
0.0444444444,3,0,0.0,0.999999999994621,1.0,81.7999999999996,0.0,40.46386650732298,0.0,40.46386650732298
0.0888888888,4,0,0.0,0.999999999994635,1.0,81.7999999999996,0.0,40.463841897802766,0.0,40.463841897802766
0.0888888888,4,0,0.0,0.999999999994635,1.0,81.7999999999996,0.0,40.463841897802766,0.0,40.463841897802766
0.0444444444,3,0,0.0,0.999999999994621,1.0,81.7999999999996,0.0,40.46386650732298,0.0,40.46386650732298
0.0888888888,4,0,0.0,0.999999999994635,1.0,81.7999999999996,0.0,40.463841897802766,0.0,40.463841897802766
0.0888888888,4,0,0.0,0.999999999994635,1.0,81.7999999999996,0.0,40.463841897802766,0.0,40.463841897802766
0.0888888888,4,0,0.0,0.999999999994635,1.0,81.7999999999996,0.0,40.463841897802766,0.0,40.463841897802766
0.0888888888,4,0,0.0,0.999999999994635,1.0,81.7999999999996,0.0,40.463841897802766,0.0,40.463841897802766
0.0888888888,4,0,0.0,0.999999999994635,1.0,81.7999999999996,0.0,40.463841897802766,0.0,40.463841897802766
0.0888888888,4,0,0.0,0.999999999994635,1.0,81.7999999999996,0.0,40.463841897802766,0.0,40.463841897802766
0.0888888888,4,0,0.0,0.999999999994635,1.0,81.7999999999996,0.0,40.463841897802766,0.0,40.463841897802766
