ce cc z cost lambda mu edge_d cloud_d target_d percentile cost_ratio
3 0 0 11.285714284100006 0.0444444444 0.0444444444 9.12 22.8 50.0 0.99 7.0
5 0 0 22.285714283200015 0.0888888888 0.0444444444 9.12 22.8 50.0 0.99 7.0
6 0 0 34.457142853320015 0.1333333332 0.0444444444 9.12 22.8 50.0 0.99 7.0
7 0 0 45.285714281000025 0.1777777776 0.0444444444 9.12 22.8 50.0 0.99 7.0
8 0 0 56.28571428010003 0.222222222 0.0444444444 9.12 22.8 50.0 0.99 7.0
9 0 0 67.45714285062003 0.2666666664 0.0444444444 9.12 22.8 50.0 0.99 7.0
10 0 0 78.79999999256005 0.3111111108 0.0444444444 9.12 22.8 50.0 0.99 7.0
11 0 0 89.62857142024005 0.3555555552 0.0444444444 9.12 22.8 50.0 0.99 7.0
12 0 0 100.45714284792007 0.3999999996 0.0444444444 9.12 22.8 50.0 0.99 7.0
13 0 0 111.28571427560006 0.444444444 0.0444444444 9.12 22.8 50.0 0.99 7.0
15 0 0 124.99999998850001 0.4888888884 0.0444444444 9.12 22.8 50.0 0.99 7.0
16 0 0 135.9999999876 0.5333333328 0.0444444444 9.12 22.8 50.0 0.99 7.0
17 0 0 146.9999999867 0.5777777772 0.0444444444 9.12 22.8 50.0 0.99 7.0
18 0 0 157.9999999858 0.6222222216 0.0444444444 9.12 22.8 50.0 0.99 7.0
19 0 0 168.99999998490003 0.666666666 0.0444444444 9.12 22.8 50.0 0.99 7.0
20 0 0 179.999999984 0.7111111104 0.0444444444 9.12 22.8 50.0 0.99 7.0
