ce cc z cost lambda mu edge_d cloud_d target_d percentile cost_ratio
4 0 0 4.828571426640001 0.0444444444 0.0444444444 11.4 22.8 50.0 0.99 7.0
5 0 0 6.828571425840001 0.0888888888 0.0444444444 11.4 22.8 50.0 0.99 7.0
7 0 0 8.845714282176003 0.1333333332 0.0444444444 11.4 22.8 50.0 0.99 7.0
8 0 0 11.828571423840001 0.1777777776 0.0444444444 11.4 22.8 50.0 0.99 7.0
9 0 0 13.828571423040003 0.222222222 0.0444444444 11.4 22.8 50.0 0.99 7.0
10 0 0 15.845714279376004 0.2666666664 0.0444444444 11.4 22.8 50.0 0.99 7.0
11 0 0 17.879999992848003 0.3111111108 0.0444444444 11.4 22.8 50.0 0.99 7.0
12 0 0 19.862857134912005 0.3555555552 0.0444444444 11.4 22.8 50.0 0.99 7.0
13 0 0 21.845714276976004 0.3999999996 0.0444444444 11.4 22.8 50.0 0.99 7.0
14 0 0 23.828571419040006 0.444444444 0.0444444444 11.4 22.8 50.0 0.99 7.0
16 0 0 26.9999999892 0.4888888884 0.0444444444 11.4 22.8 50.0 0.99 7.0
17 0 0 28.9999999884 0.5333333328 0.0444444444 11.4 22.8 50.0 0.99 7.0
18 0 0 30.9999999876 0.5777777772 0.0444444444 11.4 22.8 50.0 0.99 7.0
19 0 0 32.9999999868 0.6222222216 0.0444444444 11.4 22.8 50.0 0.99 7.0
20 0 0 34.999999986 0.666666666 0.0444444444 11.4 22.8 50.0 0.99 7.0
