lambda z ce cc cost edge_avg cloud_avg edge_0.0 edge_0.05 edge_0.1 edge_0.15000000000000002 edge_0.2 edge_0.25 edge_0.30000000000000004 edge_0.35000000000000003 edge_0.4 edge_0.45 edge_0.5 edge_0.55 edge_0.6000000000000001 edge_0.65 edge_0.7000000000000001 edge_0.75 edge_0.8 edge_0.8500000000000001 edge_0.9 edge_0.9500000000000001 edge_0.99 edge_0.999 edge_0.9999 edge_0.99999 cloud_0.0 cloud_0.05 cloud_0.1 cloud_0.15000000000000002 cloud_0.2 cloud_0.25 cloud_0.30000000000000004 cloud_0.35000000000000003 cloud_0.4 cloud_0.45 cloud_0.5 cloud_0.55 cloud_0.6000000000000001 cloud_0.65 cloud_0.7000000000000001 cloud_0.75 cloud_0.8 cloud_0.8500000000000001 cloud_0.9 cloud_0.9500000000000001 cloud_0.99 cloud_0.999 cloud_0.9999 cloud_0.99999
0.66 1.0 0.0 16.0 1.7625 0.0 78.6130484266885 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 54.9 65.4 67.3 68.7 70.0 71.1 72.2 73.2 74.3 75.4 76.5 77.7 78.9 80.3 81.9 83.7 85.9 88.6 92.5 98.6 112.2 132.4 145.0 153.8
0.704 1.0 0.0 17.0 1.88 0.0 78.07799720422173 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0 65.3 67.2 68.6 69.8 70.9 72.0 73.0 74.0 75.0 76.1 77.2 78.4 79.8 81.3 83.0 85.0 87.6 91.1 97.2 110.3 127.7 141.3 151.2
0.748 1.0 0.0 18.0 1.9975 0.0 77.64455154206914 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 54.8 65.2 67.1 68.5 69.7 70.7 71.8 72.8 73.8 74.8 75.8 76.9 78.0 79.3 80.7 82.4 84.4 86.9 90.3 96.1 108.7 122.8 133.1 140.5
0.792 1.0 0.0 19.0 2.115 0.0 78.52580767808549 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 54.5 65.4 67.3 68.8 70.0 71.1 72.2 73.2 74.3 75.4 76.5 77.6 78.9 80.2 81.8 83.5 85.7 88.4 92.1 98.4 111.9 127.7 141.9 154.1
0.88 1.0 0.0 22.0 2.35 0.0 74.50351835682514 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0 64.5 66.2 67.4 68.4 69.4 70.2 71.1 71.9 72.7 73.5 74.4 75.3 76.2 77.3 78.4 79.8 81.5 83.7 87.3 95.3 106.2 116.3 123.6
0.924 1.0 0.0 23.0 2.4675 0.0 74.35017025373585 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 54.3 64.4 66.1 67.4 68.4 69.3 70.2 71.0 71.8 72.6 73.4 74.3 75.1 76.1 77.1 78.3 79.6 81.2 83.4 86.9 94.7 105.7 115.2 121.6
0.968 1.0 0.0 24.0 2.585 0.0 74.65190312165151 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 54.8 64.5 66.2 67.5 68.5 69.5 70.3 71.2 72.0 72.8 73.7 74.5 75.4 76.4 77.4 78.6 80.0 81.7 84.0 87.6 95.6 106.6 116.0 122.4
1.012 1.0 0.0 25.0 2.7025 0.0 74.42257924518245 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 54.6 64.5 66.2 67.4 68.5 69.4 70.2 71.1 71.9 72.7 73.5 74.3 75.2 76.2 77.2 78.3 79.7 81.3 83.5 87.0 94.6 104.2 113.1 120.0
1.056 1.0 0.0 26.0 2.8200000000000003 0.0 74.35246842192099 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0 64.5 66.2 67.4 68.4 69.3 70.2 71.0 71.8 72.6 73.4 74.3 75.2 76.1 77.1 78.3 79.6 81.2 83.3 86.8 94.3 105.0 115.3 123.4
1.1 1.0 0.0 27.0 2.9375000000000004 0.0 74.68536134335376 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 54.5 64.6 66.3 67.5 68.6 69.5 70.4 71.3 72.1 72.9 73.7 74.6 75.5 76.5 77.5 78.7 80.1 81.7 84.0 87.6 95.2 105.2 113.8 121.3
