lambda z ce cc cost edge_avg cloud_avg edge_0.0 edge_0.05 edge_0.1 edge_0.15000000000000002 edge_0.2 edge_0.25 edge_0.30000000000000004 edge_0.35000000000000003 edge_0.4 edge_0.45 edge_0.5 edge_0.55 edge_0.6000000000000001 edge_0.65 edge_0.7000000000000001 edge_0.75 edge_0.8 edge_0.8500000000000001 edge_0.9 edge_0.9500000000000001 edge_0.99 edge_0.999 edge_0.9999 edge_0.99999 cloud_0.0 cloud_0.05 cloud_0.1 cloud_0.15000000000000002 cloud_0.2 cloud_0.25 cloud_0.30000000000000004 cloud_0.35000000000000003 cloud_0.4 cloud_0.45 cloud_0.5 cloud_0.55 cloud_0.6000000000000001 cloud_0.65 cloud_0.7000000000000001 cloud_0.75 cloud_0.8 cloud_0.8500000000000001 cloud_0.9 cloud_0.9500000000000001 cloud_0.99 cloud_0.999 cloud_0.9999 cloud_0.99999
1.716 0.97 2.0 40.0 4.644363749999999 46.54076335818317 47.694081205502954 23.5 33.1 34.8 36.1 37.3 38.3 39.3 40.2 41.2 42.2 43.3 44.5 45.8 47.3 49.1 51.2 53.9 57.4 62.2 70.4 89.80000000000001 117.4 147.6 185.0 27.6 37.9 39.6 40.8 41.8 42.7 43.6 44.400000000000006 45.2 46.0 46.8 47.6 48.5 49.400000000000006 50.5 51.6 52.900000000000006 54.5 56.599999999999994 60.0 67.2 76.4 83.6 89.89999999999999
1.848 0.9 5.0 40.0 5.157075000000001 48.92474246265276 47.694081205502954 23.6 33.7 35.7 37.1 38.400000000000006 39.6 40.7 41.8 43.0 44.2 45.5 46.900000000000006 48.400000000000006 50.1 52.1 54.5 57.4 61.1 66.4 75.4 95.80000000000001 122.5 147.0 158.5 27.6 37.9 39.6 40.8 41.8 42.7 43.6 44.400000000000006 45.2 46.0 46.8 47.6 48.5 49.400000000000006 50.5 51.6 52.900000000000006 54.5 56.599999999999994 60.0 67.2 76.4 83.6 89.89999999999999
1.892 0.88 6.0 40.0 5.325335 48.57975297279548 47.694081205502954 22.8 33.8 35.7 37.2 38.400000000000006 39.6 40.7 41.8 42.900000000000006 44.1 45.3 46.7 48.2 49.900000000000006 51.800000000000004 54.0 56.800000000000004 60.300000000000004 65.4 73.80000000000001 93.80000000000001 120.80000000000001 146.0 162.29999999999998 27.6 37.9 39.6 40.8 41.8 42.7 43.6 44.400000000000006 45.2 46.0 46.8 47.6 48.5 49.400000000000006 50.5 51.6 52.900000000000006 54.5 56.599999999999994 60.0 67.2 76.4 83.6 89.89999999999999
1.936 0.86 7.0 40.0 5.495710000000001 48.65047980699176 47.694081205502954 23.400000000000002 33.900000000000006 35.8 37.3 38.5 39.7 40.8 42.0 43.1 44.3 45.5 46.900000000000006 48.3 50.0 51.9 54.1 56.800000000000004 60.300000000000004 65.2 73.6 92.80000000000001 119.9 143.4 157.5 27.6 37.9 39.6 40.8 41.8 42.7 43.6 44.400000000000006 45.2 46.0 46.8 47.6 48.5 49.400000000000006 50.5 51.6 52.900000000000006 54.5 56.599999999999994 60.0 67.2 76.4 83.6 89.89999999999999
1.98 0.84 8.0 40.0 5.668200000000001 49.16701866206391 47.694081205502954 23.200000000000003 34.0 36.0 37.5 38.8 40.0 41.1 42.3 43.5 44.7 46.0 47.400000000000006 48.900000000000006 50.6 52.5 54.800000000000004 57.6 61.300000000000004 66.30000000000001 74.80000000000001 93.69999999999999 120.4 146.4 164.2 27.6 37.9 39.6 40.8 41.8 42.7 43.6 44.400000000000006 45.2 46.0 46.8 47.6 48.5 49.400000000000006 50.5 51.6 52.900000000000006 54.5 56.599999999999994 60.0 67.2 76.4 83.6 89.89999999999999
2.112 0.79 11.0 40.0 6.172980000000001 48.11388157302079 47.694081205502954 23.6 34.0 35.900000000000006 37.400000000000006 38.7 39.8 40.900000000000006 42.0 43.1 44.3 45.5 46.7 48.1 49.7 51.4 53.4 55.9 59.1 63.4 70.80000000000001 87.69999999999999 108.80000000000001 124.9 134.0 27.6 37.9 39.6 40.8 41.8 42.7 43.6 44.400000000000006 45.2 46.0 46.8 47.6 48.5 49.400000000000006 50.5 51.6 52.900000000000006 54.5 56.599999999999994 60.0 67.2 76.4 83.6 89.89999999999999
2.156 0.77 12.0 40.0 6.35340125 50.10935774929061 47.206820533684535 23.200000000000003 34.3 36.400000000000006 37.900000000000006 39.3 40.6 41.8 43.0 44.2 45.5 46.8 48.3 49.900000000000006 51.7 53.7 56.1 59.0 62.7 67.9 76.7 96.1 118.5 132.0 140.4 27.3 37.7 39.400000000000006 40.6 41.6 42.5 43.3 44.1 44.900000000000006 45.7 46.400000000000006 47.2 48.1 49.0 49.900000000000006 51.0 52.2 53.7 55.7 58.8 65.2 73.2 79.7 85.5
2.244 0.74 14.0 40.0 6.6936225 50.01211497848544 47.206820533684535 23.700000000000003 34.400000000000006 36.5 38.1 39.400000000000006 40.7 41.900000000000006 43.1 44.3 45.6 46.900000000000006 48.400000000000006 49.900000000000006 51.7 53.6 55.9 58.7 62.2 67.2 75.5 95.30000000000001 115.19999999999999 127.19999999999999 135.8 27.3 37.7 39.400000000000006 40.6 41.6 42.5 43.3 44.1 44.900000000000006 45.7 46.400000000000006 47.2 48.1 49.0 49.900000000000006 51.0 52.2 53.7 55.7 58.8 65.2 73.2 79.7 85.5
2.288 0.73 15.0 40.0 6.852364999999999 47.81907673554406 47.694081205502954 23.700000000000003 34.0 36.0 37.5 38.7 39.900000000000006 41.0 42.1 43.1 44.3 45.400000000000006 46.7 48.0 49.400000000000006 51.1 53.0 55.4 58.4 62.5 69.5 84.6 103.5 117.9 128.7 27.6 37.9 39.6 40.8 41.8 42.7 43.6 44.400000000000006 45.2 46.0 46.8 47.6 48.5 49.400000000000006 50.5 51.6 52.900000000000006 54.5 56.599999999999994 60.0 67.2 76.4 83.6 89.89999999999999
2.376 0.7 18.0 40.0 7.201575 43.44200728578007 47.206820533684535 23.900000000000002 33.1 34.8 36.1 37.2 38.1 39.0 39.8 40.7 41.5 42.3 43.2 44.2 45.1 46.2 47.5 48.900000000000006 50.7 53.1 57.0 65.5 76.9 88.1 96.9 27.3 37.7 39.400000000000006 40.6 41.6 42.5 43.3 44.1 44.900000000000006 45.7 46.400000000000006 47.2 48.1 49.0 49.900000000000006 51.0 52.2 53.7 55.7 58.8 65.2 73.2 79.7 85.5
