ce cc z cost lambda mu edge_d cloud_d target_d percentile cost_ratio
4 0 0.0 0.27587 0.0444444444 0.0444444444 15.0 30.0 77.0 0.99999 2.0
5 0 0.0 0.5210875 0.0888888888 0.0444444444 15.0 30.0 77.0 0.99999 2.0
6 0 0.0 0.7663049999999999 0.1333333332 0.0444444444 15.0 30.0 77.0 0.99999 2.0
7 0 0.0 1.0115225 0.1777777776 0.0444444444 15.0 30.0 77.0 0.99999 2.0
8 0 0.0 1.25674 0.222222222 0.0444444444 15.0 30.0 77.0 0.99999 2.0
10 0 0.0 1.5121749999999996 0.2666666664 0.0444444444 15.0 30.0 77.0 0.99999 2.0
11 0 0.0 1.7573925 0.3111111108 0.0444444444 15.0 30.0 77.0 0.99999 2.0
12 0 0.0 2.0026100000000002 0.3555555552 0.0444444444 15.0 30.0 77.0 0.99999 2.0
13 0 0.0 2.2478275 0.3999999996 0.0444444444 15.0 30.0 77.0 0.99999 2.0
14 0 0.0 2.493045 0.444444444 0.0444444444 15.0 30.0 77.0 0.99999 2.0
15 0 0.0 2.7382625 0.4888888884 0.0444444444 15.0 30.0 77.0 0.99999 2.0
16 0 0.0 2.9834799999999992 0.5333333328 0.0444444444 15.0 30.0 77.0 0.99999 2.0
17 0 0.0 3.2286975 0.5777777772 0.0444444444 15.0 30.0 77.0 0.99999 2.0
18 0 0.0 3.4739149999999994 0.6222222216 0.0444444444 15.0 30.0 77.0 0.99999 2.0
19 0 0.0 3.7191324999999997 0.666666666 0.0444444444 15.0 30.0 77.0 0.99999 2.0
20 0 0.0 3.9643500000000005 0.7111111104 0.0444444444 15.0 30.0 77.0 0.99999 2.0
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
No solution!
