x,y
4.47,6.69164441940715e-07
4.48,6.87498746587125e-07
4.49,7.06281195040493e-07
4.5,7.25521356698942e-07
4.51,7.45228973747328e-07
4.52,7.65413963645882e-07
4.53,7.86086421643831e-07
4.54,8.07256623318072e-07
4.55,8.28935027136952e-07
4.56,8.51132277049309e-07
4.57,8.73859205098809e-07
4.58,8.97126834063645e-07
4.59,9.2094638012177e-07
4.6,9.45329255541591e-07
4.61,9.70287071398373e-07
4.62,9.95831640316294e-07
4.63,1.02197497923627e-06
4.64,1.04872931220964e-06
4.65,1.0761070732178e-06
4.66,1.10412090901765e-06
4.67,1.13278368201333e-06
4.68,1.16210847315383e-06
4.69,1.19210858485689e-06
4.7,1.22279754395905e-06
4.71,1.25418910469201e-06
4.72,1.28629725168529e-06
4.73,1.31913620299526e-06
4.74,1.35272041316063e-06
4.75,1.38706457628431e-06
4.76,1.42218362914187e-06
4.77,1.45809275431653e-06
4.78,1.49480738336065e-06
4.79,1.532343199984e-06
4.8,1.57071614326845e-06
4.81,1.60994241090963e-06
4.82,1.650038462485e-06
4.83,1.69102102274888e-06
4.84,1.73290708495412e-06
4.85,1.77571391420057e-06
4.86,1.81945905081034e-06
4.87,1.8641603137299e-06
4.88,1.90983580395887e-06
4.89,1.95650390800585e-06
4.9,2.00418330137091e-06
4.91,2.05289295205484e-06
4.92,2.10265212409554e-06
4.93,2.15348038113095e-06
4.94,2.20539758998888e-06
4.95,2.25842392430374e-06
4.96,2.31257986815994e-06
4.97,2.36788621976224e-06
4.98,2.42436409513272e-06
4.99,2.48203493183453e-06
5,2.5409204927225e-06
5.01,2.6010428697203e-06
5.02,2.66242448762429e-06
5.03,2.72508810793414e-06
5.04,2.78905683270978e-06
5.05,2.85435410845535e-06
5.06,2.9210037300292e-06
5.07,2.98902984458069e-06
5.08,3.05845695551325e-06
5.09,3.12930992647398e-06
5.1,3.20161398536942e-06
5.11,3.2753947284076e-06
5.12,3.35067812416644e-06
5.13,3.42749051768818e-06
5.14,3.50585863459984e-06
5.15,3.58580958525979e-06
5.16,3.66737086893022e-06
5.17,3.75057037797542e-06
5.18,3.83543640208588e-06
5.19,3.9219976325281e-06
5.2,4.01028316641988e-06
5.21,4.10032251103127e-06
5.22,4.19214558811092e-06
5.23,4.28578273823762e-06
5.24,4.38126472519717e-06
5.25,4.4786227403844e-06
5.26,4.57788840723013e-06
5.27,4.67909378565297e-06
5.28,4.78227137653604e-06
5.29,4.88745412622834e-06
5.3,4.99467543107057e-06
5.31,5.10396914194533e-06
5.32,5.21536956885197e-06
5.33,5.32891148550505e-06
5.34,5.44463013395723e-06
5.35,5.56256122924605e-06
5.36,5.68274096406412e-06
5.37,5.80520601345333e-06
5.38,5.92999353952218e-06
5.39,6.05714119618665e-06
5.4,6.186687133934e-06
5.41,6.3186700046097e-06
5.42,6.45312896622728e-06
5.43,6.59010368780043e-06
5.44,6.72963435419812e-06
5.45,6.87176167102154e-06
5.46,7.0165268695036e-06
5.47,7.16397171143e-06
5.48,7.31413849408236e-06
5.49,7.46707005520282e-06
5.5,7.62280977797996e-06
5.51,7.78140159605604e-06
5.52,7.94288999855512e-06
5.53,8.10732003513213e-06
5.54,8.27473732104223e-06
5.55,8.44518804223104e-06
5.56,8.61871896044447e-06
5.57,8.79537741835892e-06
5.58,8.97521134473107e-06
5.59,9.15826925956699e-06
5.6,9.34460027931093e-06
5.61,9.53425412205275e-06
5.62,9.72728111275455e-06
5.63,9.92373218849535e-06
5.64,1.01236589037348e-05
5.65,1.03271134355944e-05
5.66,1.05341485891567e-05
5.67,1.07448178027822e-05
5.68,1.09591751534438e-05
5.69,1.11772753620777e-05
5.7,1.13991737989517e-05
5.71,1.16249264890496e-05
5.72,1.18545901174726e-05
5.73,1.20882220348556e-05
5.74,1.23258802628002e-05
5.75,1.25676234993225e-05
5.76,1.2813511124317e-05
5.77,1.30636032050341e-05
5.78,1.33179605015728e-05
5.79,1.3576644472388e-05
5.8,1.38397172798118e-05
5.81,1.41072417955874e-05
5.82,1.4379281606418e-05
5.83,1.46559010195276e-05
5.84,1.49371650682349e-05
5.85,1.52231395175401e-05
5.86,1.5513890869723e-05
5.87,1.58094863699539e-05
5.88,1.61099940119154e-05
5.89,1.64154825434353e-05
5.9,1.67260214721304e-05
5.91,1.70416810710613e-05
5.92,1.73625323843972e-05
5.93,1.76886472330895e-05
5.94,1.80200982205567e-05
5.95,1.8356958738377e-05
5.96,1.86993029719902e-05
5.97,1.90472059064081e-05
5.98,1.94007433319331e-05
5.99,1.9759991849884e-05
6,2.01250288783298e-05
6.01,2.04959326578301e-05
6.02,2.08727822571819e-05
6.03,2.12556575791742e-05
6.04,2.16446393663456e-05
6.05,2.20398092067506e-05
6.06,2.24412495397283e-05
6.07,2.28490436616784e-05
6.08,2.3263275731839e-05
6.09,2.36840307780707e-05
6.1,2.4111394702642e-05
6.11,2.45454542880204e-05
6.12,2.49862972026642e-05
6.13,2.54340120068175e-05
6.14,2.58886881583072e-05
6.15,2.6350416018342e-05
6.16,2.68192868573113e-05
6.17,2.72953928605865e-05
6.18,2.77788271343211e-05
6.19,2.8269683711252e-05
6.2,2.87680575564995e-05
6.21,2.92740445733664e-05
6.22,2.97877416091363e-05
6.23,3.03092464608708e-05
6.24,3.08386578812013e-05
6.25,3.13760755841227e-05
6.26,3.19216002507802e-05
6.27,3.24753335352556e-05
6.28,3.30373780703471e-05
6.29,3.3607837473346e-05
6.3,3.41868163518093e-05
6.31,3.4774420309326e-05
6.32,3.53707559512774e-05
6.33,3.59759308905918e-05
6.34,3.65900537534926e-05
6.35,3.72132341852405e-05
6.36,3.78455828558648e-05
6.37,3.84872114658904e-05
6.38,3.91382327520549e-05
6.39,3.97987604930155e-05
6.4,4.04689095150493e-05
6.41,4.11487956977408e-05
6.42,4.18385359796616e-05
6.43,4.25382483640379e-05
6.44,4.32480519244072e-05
6.45,4.39680668102622e-05
6.46,4.46984142526857e-05
6.47,4.54392165699684e-05
6.48,4.61905971732163e-05
6.49,4.69526805719454e-05
6.5,4.77255923796585e-05
6.51,4.85094593194122e-05
6.52,4.93044092293638e-05
6.53,5.01105710683068e-05
6.54,5.09280749211884e-05
6.55,5.17570520046103e-05
6.56,5.25976346723139e-05
6.57,5.34499564206452e-05
6.58,5.43141518940053e-05
6.59,5.51903568902794e-05
6.6,5.60787083662485e-05
6.61,5.69793444429796e-05
6.62,5.78924044111992e-05
6.63,5.88180287366435e-05
6.64,5.97563590653877e-05
6.65,6.07075382291554e-05
6.66,6.16717102506041e-05
6.67,6.26490203485912e-05
6.68,6.36396149434116e-05
6.69,6.46436416620182e-05
6.7,6.56612493432132e-05
6.71,6.6692588042818e-05
6.72,6.77378090388164e-05
6.73,6.87970648364718e-05
6.74,6.98705091734216e-05
6.75,7.09582970247399e-05
6.76,7.20605846079785e-05
6.77,7.31775293881745e-05
6.78,7.4309290082836e-05
6.79,7.54560266668951e-05
6.8,7.66179003776304e-05
6.81,7.77950737195664e-05
6.82,7.89877104693347e-05
6.83,8.01959756805104e-05
6.84,8.14200356884145e-05
6.85,8.26600581148846e-05
6.86,8.39162118730162e-05
6.87,8.51886671718665e-05
6.88,8.64775955211287e-05
6.89,8.77831697357733e-05
6.9,8.91055639406479e-05
6.91,9.04449535750538e-05
6.92,9.18015153972766e-05
6.93,9.31754274890874e-05
6.94,9.45668692602042e-05
6.95,9.59760214527189e-05
6.96,9.7403066145486e-05
6.97,9.8848186758472e-05
6.98,0.00010031156805707
6.99,0.00010179339615637
7,0.000103293858525395
7.01,0.000104813143991295
7.02,0.000106351442743501
7.03,0.000107908946337834
7.04,0.000109485847700583
7.05,0.000111082341132528
7.06,0.000112698622312928
7.07,0.00011433488830347
7.08,0.00011599133755216
7.09,0.00011766816989719
7.1,0.000119365586570742
7.11,0.000121083790202756
7.12,0.000122822984824656
7.13,0.000124583375873019
7.14,0.000126365170193209
7.15,0.000128168576042957
7.16,0.000129993803095894
7.17,0.00013184106244504
7.18,0.000133710566606241
7.19,0.000135602529521555
7.2,0.000137517166562598
7.21,0.000139454694533826
7.22,0.000141415331675782
7.23,0.000143399297668277
7.24,0.000145406813633528
7.25,0.00014743810213925
7.26,0.000149493387201679
7.27,0.000151572894288556
7.28,0.000153676850322054
7.29,0.000155805483681649
7.3,0.000157959024206938
7.31,0.000160137703200404
7.32,0.000162341753430122
7.33,0.000164571409132411
7.34,0.000166826906014435
7.35,0.000169108481256738
7.36,0.000171416373515724
7.37,0.000173750822926091
7.38,0.000176112071103189
7.39,0.000178500361145334
7.4,0.000180915937636053
7.41,0.000183359046646276
7.42,0.00018582993573647
7.43,0.000188328853958703
7.44,0.000190856051858656
7.45,0.00019341178147757
7.46,0.000195996296354135
7.47,0.000198609851526308
7.48,0.000201252703533087
7.49,0.000203925110416194
7.5,0.00020662733172172
7.51,0.000209359628501701
7.52,0.000212122263315616
7.53,0.000214915500231832
7.54,0.000217739604828986
7.55,0.000220594844197297
7.56,0.000223481486939809
7.57,0.000226399803173571
7.58,0.000229350064530755
7.59,0.000232332544159701
7.6,0.000235347516725893
7.61,0.000238395258412875
7.62,0.000241476046923086
7.63,0.000244590161478644
7.64,0.000247737882822046
7.65,0.0002509194932168
7.66,0.000254135276447998
7.67,0.000257385517822808
7.68,0.000260670504170898
7.69,0.000263990523844792
7.7,0.000267345866720151
7.71,0.000270736824195988
7.72,0.000274163689194799
7.73,0.000277626756162641
7.74,0.000281126321069113
7.75,0.000284662681407287
7.76,0.00028823613619355
7.77,0.00029184698596738
7.78,0.000295495532791043
7.79,0.00029918208024922
7.8,0.000302906933448554
7.81,0.000306670399017129
7.82,0.000310472785103868
7.83,0.000314314401377855
7.84,0.000318195559027583
7.85,0.000322116570760128
7.86,0.00032607775080024
7.87,0.000330079414889362
7.88,0.000334121880284573
7.89,0.000338205465757441
7.9,0.000342330491592824
7.91,0.000346497279587562
7.92,0.000350706153049106
7.93,0.000354957436794081
7.94,0.000359251457146739
7.95,0.00036358854193736
7.96,0.00036796902050056
7.97,0.000372393223673528
7.98,0.000376861483794169
7.99,0.000381374134699182
8,0.000385931511722045
8.01,0.000390533951690931
8.02,0.000395181792926536
8.03,0.000399875375239821
8.04,0.00040461503992968
8.05,0.000409401129780527
8.06,0.000414233989059801
8.07,0.000419113963515377
8.08,0.000424041400372911
8.09,0.00042901664833309
8.1,0.000434040057568811
8.11,0.000439111979722263
8.12,0.000444232767901939
8.13,0.000449402776679556
8.14,0.000454622362086891
8.15,0.00045989188161254
8.16,0.000465211694198595
8.17,0.000470582160237217
8.18,0.000476003641567155
8.19,0.000481476501470154
8.2,0.000487001104667288
8.21,0.00049257781731522
8.22,0.000498207007002361
8.23,0.000503889042744944
8.24,0.000509624294983022
8.25,0.000515413135576387
8.26,0.000521255937800377
8.27,0.000527153076341623
8.28,0.000533104927293707
8.29,0.000539111868152717
8.3,0.000545174277812733
8.31,0.000551292536561227
8.32,0.000557467026074368
8.33,0.000563698129412239
8.34,0.000569986231013987
8.35,0.000576331716692859
8.36,0.000582734973631177
8.37,0.000589196390375213
8.38,0.000595716356829971
8.39,0.000602295264253908
8.4,0.00060893350525354
8.41,0.000615631473777972
8.42,0.000622389565113354
8.43,0.000629208175877228
8.44,0.000636087704012805
8.45,0.000643028548783141
8.46,0.000650031110765253
8.47,0.000657095791844103
8.48,0.000664222995206546
8.49,0.000671413125335153
8.5,0.000678666588001968
8.51,0.000685983790262165
8.52,0.000693365140447629
8.53,0.000700811048160443
8.54,0.000708321924266298
8.55,0.000715898180887794
8.56,0.000723540231397684
8.57,0.000731248490412012
8.58,0.000739023373783162
8.59,0.000746865298592836
8.6,0.000754774683144937
8.61,0.000762751946958361
8.62,0.000770797510759696
8.63,0.000778911796475878
8.64,0.000787095227226687
8.65,0.000795348227317224
8.66,0.000803671222230277
8.67,0.000812064638618584
8.68,0.000820528904297032
8.69,0.000829064448234774
8.7,0.000837671700547242
8.71,0.000846351092488062
8.72,0.000855103056440947
8.73,0.000863928025911427
8.74,0.00087282643551855
8.75,0.000881798720986445
8.76,0.000890845319135876
8.77,0.000899966667875629
8.78,0.000909163206193867
8.79,0.000918435374149387
8.8,0.000927783612862769
8.81,0.000937208364507501
8.82,0.000946710072300957
8.83,0.000956289180495301
8.84,0.000965946134368357
8.85,0.000975681380214344
8.86,0.000985495365334525
8.87,0.000995388538027822
8.88,0.0010053613475813
8.89,0.00101541424426061
8.9,0.00102554767930026
8.91,0.00103576210489397
8.92,0.00104605797418476
8.93,0.00105643574125507
8.94,0.0010668958611168
8.95,0.00107743878970116
8.96,0.0010880649838486
8.97,0.00109877490129853
8.98,0.00110956900067902
8.99,0.00112044774149637
9,0.0011314115841247
9.01,0.00114246098979533
9.02,0.00115359642058621
9.03,0.00116481833941111
9.04,0.00117612721000895
9.05,0.00118752349693281
9.06,0.00119900766553907
9.07,0.00121058018197634
9.08,0.00122224151317433
9.09,0.00123399212683274
9.1,0.00124583249140993
9.11,0.0012577630761116
9.12,0.00126978435087941
9.13,0.00128189678637943
9.14,0.00129410085399063
9.15,0.00130639702579322
9.16,0.0013187857745569
9.17,0.00133126757372913
9.18,0.00134384289742321
9.19,0.00135651222040638
9.2,0.00136927601808777
9.21,0.00138213476650632
9.22,0.00139508894231866
9.23,0.00140813902278683
9.24,0.001421285485766
9.25,0.00143452880969205
9.26,0.00144786947356921
9.27,0.00146130795695745
9.28,0.00147484473995995
9.29,0.00148848030321039
9.3,0.00150221512786028
9.31,0.00151604969556609
9.32,0.00152998448847646
9.33,0.00154401998921918
9.34,0.00155815668088825
9.35,0.00157239504703079
9.36,0.00158673557163388
9.37,0.00160117873911137
9.38,0.00161572503429059
9.39,0.00163037494239906
9.4,0.00164512894905101
9.41,0.00165998754023398
9.42,0.00167495120229523
9.43,0.00169002042192817
9.44,0.00170519568615874
9.45,0.00172047748233157
9.46,0.00173586629809631
9.47,0.00175136262139373
9.48,0.00176696694044177
9.49,0.00178267974372168
9.5,0.00179850151996385
9.51,0.00181443275813382
9.52,0.00183047394741807
9.53,0.00184662557720984
9.54,0.00186288813709484
9.55,0.00187926211683693
9.56,0.00189574800636373
9.57,0.00191234629575217
9.58,0.00192905747521402
9.59,0.00194588203508128
9.6,0.00196282046579163
9.61,0.00197987325787372
9.62,0.00199704090193244
9.63,0.00201432388863421
9.64,0.00203172270869209
9.65,0.0020492378528509
9.66,0.00206686981187234
9.67,0.00208461907651998
9.68,0.00210248613754416
9.69,0.00212047148566701
