ce cc z cost lambda mu edge_d cloud_d target_d percentile cost_ratio
20 29 0.5999999999999998 <function cost at 0x7fb7081c7280> 1.9555555536 0.0444444444 18.1 22.8 100.0 0.99999 1.0
20 30 0.6099999999999998 <function cost at 0x7f0d62388280> 1.999999998 0.0444444444 18.1 22.8 100.0 0.99999 1.0
20 31 0.6199999999999998 <function cost at 0x7f1af2c49280> 2.0444444424 0.0444444444 18.1 22.8 100.0 0.99999 1.0
20 32 0.6199999999999999 <function cost at 0x7f3c9cc7e280> 2.0888888868 0.0444444444 18.1 22.8 100.0 0.99999 1.0
20 33 0.6299999999999999 <function cost at 0x7f7c749f4280> 2.1333333312 0.0444444444 18.1 22.8 100.0 0.99999 1.0
20 34 0.6399999999999999 <function cost at 0x7fc0d669a280> 2.1777777756 0.0444444444 18.1 22.8 100.0 0.99999 1.0
20 35 0.6499999999999999 <function cost at 0x7fbe04271280> 2.22222222 0.0444444444 18.1 22.8 100.0 0.99999 1.0
20 36 0.6499999999999999 <function cost at 0x7fc288e1f280> 2.2666666644 0.0444444444 18.1 22.8 100.0 0.99999 1.0
20 37 0.6599999999999999 <function cost at 0x7fd8154ed280> 2.3111111088 0.0444444444 18.1 22.8 100.0 0.99999 1.0
18 40 0.71 <function cost at 0x7f0af31f0280> 2.3555555532 0.0444444444 18.1 22.8 100.0 0.99999 1.0
20 39 0.6699999999999999 <function cost at 0x7f35afaed280> 2.3999999976 0.0444444444 18.1 22.8 100.0 0.99999 1.0
20 40 0.6799999999999999 <function cost at 0x7f2b8a155280> 2.444444442 0.0444444444 18.1 22.8 100.0 0.99999 1.0
No feasible solution
No feasible solution
No feasible solution
No feasible solution
No feasible solution
No feasible solution
