Corso Agnelli(TO)    ,Corso Belgio(TO)     ,Corso Einaudi(TO)    ,Corso Francia(TO)    ,Corso Giambone(TO)   ,Corso Galileo Ferraris(TO) ,Corso Giulio Cesare(TO) ,aggregated
0.29519999999999996  ,0.27                 ,0.2808               ,0.47519999999999996  ,0.41759999999999997  ,      0.216                ,   0.2592               ,2.2139999999999995
0.2196               ,0.1656               ,0.24839999999999998  ,0.5976               ,0.306                ,      0.3024               ,   0.32039999999999996  ,2.1599999999999997
0.378                ,0.252                ,0.3276               ,0.4788               ,0.36360000000000003  ,      0.2628               ,   0.36719999999999997  ,2.4299999999999997
0.216                ,0.2736               ,0.288                ,0.4068               ,0.288                ,      0.29519999999999996  ,   0.306                ,2.0736
0.2304               ,0.2448               ,0.2232               ,0.32039999999999996  ,0.36                 ,      0.2592               ,   0.36719999999999997  ,2.0052
0.23759999999999998  ,0.2052               ,0.3384               ,0.3852               ,0.4356               ,      0.2592               ,   0.3024               ,2.1635999999999997
0.29519999999999996  ,0.2448               ,0.2808               ,0.36                 ,0.3852               ,      0.20159999999999997  ,   0.2844               ,2.052
0.23759999999999998  ,0.1548               ,0.2664               ,0.36                 ,0.306                ,      0.20159999999999997  ,   0.2844               ,1.8108000000000002
0.2988               ,0.216                ,0.306                ,0.3492               ,0.4572               ,      0.3096               ,   0.2448               ,2.1816
0.23759999999999998  ,0.2664               ,0.3384               ,0.3744               ,0.3276               ,      0.2268               ,   0.37079999999999996  ,2.142
0.2808               ,0.23399999999999999  ,0.2772               ,0.4464               ,0.48240000000000005  ,      0.2772               ,   0.252                ,2.25
0.2232               ,0.18359999999999999  ,0.3132               ,0.36                 ,0.32039999999999996  ,      0.23759999999999998  ,   0.3096               ,1.9476
0.19440000000000002  ,0.2592               ,0.3132               ,0.2592               ,0.2988               ,      0.2664               ,   0.3168               ,1.9079999999999997
0.1692               ,0.2628               ,0.2664               ,0.3564               ,0.4212               ,      0.2556               ,   0.3168               ,2.0484
0.2052               ,0.2052               ,0.3564               ,0.396                ,0.41759999999999997  ,      0.2232               ,   0.288                ,2.0915999999999997
0.24120000000000003  ,0.3024               ,0.24120000000000003  ,0.3024               ,0.38880000000000003  ,      0.20159999999999997  ,   0.252                ,1.9296000000000002
0.2628               ,0.2628               ,0.2772               ,0.3744               ,0.3276               ,      0.18359999999999999  ,   0.288                ,1.9764000000000002
0.1296               ,0.2736               ,0.252                ,0.324                ,0.37079999999999996  ,      0.2268               ,   0.2628               ,1.8396
0.1296               ,0.2268               ,0.2916               ,0.23759999999999998  ,0.34559999999999996  ,      0.19440000000000002  ,   0.36719999999999997  ,1.7928
0.2664               ,0.18                 ,0.2628               ,0.2808               ,0.3744               ,      0.1512               ,   0.27                 ,1.7856
0.17279999999999998  ,0.1656               ,0.2304               ,0.34199999999999997  ,0.2772               ,      0.1584               ,   0.288                ,1.6344
0.162                ,0.1872               ,0.2556               ,0.34199999999999997  ,0.198                ,      0.20159999999999997  ,   0.2988               ,1.6451999999999998
0.19440000000000002  ,0.2124               ,0.2196               ,0.3096               ,0.198                ,      0.1656               ,   0.24839999999999998  ,1.548
0.18359999999999999  ,0.20879999999999999  ,0.2448               ,0.2448               ,0.2232               ,      0.1296               ,   0.2196               ,1.4544000000000001
0.1764               ,0.1548               ,0.1764               ,0.1656               ,0.2844               ,      0.1368               ,   0.2196               ,1.314
0.162                ,0.1512               ,0.2304               ,0.20159999999999997  ,0.2124               ,      0.1296               ,   0.2448               ,1.3319999999999999
0.1548               ,0.14759999999999998  ,0.1584               ,0.2232               ,0.2772               ,      0.1656               ,   0.252                ,1.3787999999999998
0.1548               ,0.1692               ,0.1404               ,0.198                ,0.20159999999999997  ,      0.1584               ,   0.24839999999999998  ,1.2707999999999997
0.0792               ,0.1296               ,0.18                 ,0.20879999999999999  ,0.1584               ,      0.1224               ,   0.1512               ,1.0295999999999998
0.1296               ,0.1152               ,0.1584               ,0.1764               ,0.17279999999999998  ,      0.108                ,   0.2124               ,1.0728
0.10439999999999999  ,0.108                ,0.1332               ,0.1692               ,0.1368               ,      0.10439999999999999  ,   0.1584               ,0.9144
0.108                ,0.108                ,0.1152               ,0.1512               ,0.1656               ,      0.1224               ,   0.17279999999999998  ,0.9431999999999999
